Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
link11,-0.0335365509751969,-1.47638544251608E-05,0.0175363634673847,0,0,0,0.116856588571615,6.40669907985692E-05,-6.10796542818898E-09,2.44886370277717E-08,5.82412991747231E-05,-1.30436280922276E-07,7.31449404342788E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link11.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link11.STL,,舵机-13;正交关节-12;圆角件-21;圆角长件-21;圆角长件-22;单被动轮-15,link11,joint11,yaw6,revolute,-0.0759672453138911,-0.0183499999999787,0.017687742632118,-1.57944649123982,-0.00880246354039429,-0.00872631979188913,link10,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link12,-0.0324530738345096,0.00108254938833236,0.0179213702645711,0,0,0,0.112566992864821,6.3890145781799E-05,2.31563413882817E-09,4.64125397796999E-08,5.53464105699205E-05,-3.00987049705386E-10,7.05330140492595E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link12.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link12.STL,,正交关节-14;圆角长件-25;圆角件-26;圆角件-25;舵机-15;单被动轮-14,link12,joint12,pitch6,revolute,-0.0759686306834653,0.0181891693618568,0.0178471950178375,1.57944649121474,-0.00880213416014826,0.00872665203383909,link11,-0.00872653549837375,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
link13,-0.0335365509751968,-1.47638544259266E-05,0.0175363634673753,0,0,0,0.116856588571615,6.40669907985692E-05,-6.10796542816165E-09,2.44886370277376E-08,5.82412991747231E-05,-1.30436280922292E-07,7.31449404342787E-05,0,0,0,0,0,0,package://14DOF-SW/meshes/link13.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link13.STL,,舵机-14;正交关节-13;圆角件-23;圆角长件-23;圆角长件-24;单被动轮-16,link13,joint13,yaw7,revolute,-0.0759672453138912,-0.018349999999969,0.0176877426321282,-1.57944649123982,-0.0088024635403881,-0.00872631979189494,link12,-0.00872587097686309,-0.00872653549837375,0.99992385047757,1,1,-1.57,1.57,,,0.6,0.052,,,,
link14,-0.062233978740651,0.00203517741060935,0.0179466923644601,0,0,0,0.348882243485429,0.000182310308000311,4.42534309330709E-07,6.4294067992663E-07,0.000279669495865647,-1.04787977267988E-07,0.000272600953159253,0,0,0,0,0,0,package://14DOF-SW/meshes/link14.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/link14.STL,,舵机-1;电源关节-1;蛇尾圆角件-3;蛇尾圆角件-5;蛇尾圆角件-1;电池5000mAh-1;电源盖-1;单被动轮-19;单被动轮-18,link14,joint14,pitch7,revolute,-0.0759686306834653,0.0181891693618669,0.017847195017868,1.57944649121474,-0.00880213416011803,0.00872665203383316,link13,-0.00872653549837375,0,0.999961923064171,1,1,-1.57,1.57,,,0.6,0.052,,,,
w_link16,0,-0.00599977153838503,-5.23592129902523E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,3.48566086460904E-22,3.04189015288893E-24,4.5366188724203E-07,1.40778136601667E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link16.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link16.STL,,25mm被动轮-19,w_link16,w_joint16,w_joint16,continuous,-0.0269231737433506,-0.0509968511697919,0.0121155152902981,-1.57952297305487,-0.00872664625997147,0,link14,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link17,2.22044604925031E-16,-0.00599977153838501,-5.23592129902176E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-3.83224302190232E-21,-3.34434781941989E-23,4.5366188724203E-07,1.40778136601667E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link17.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link17.STL,,25mm被动轮-18,w_link17,w_joint17,w_joint17,continuous,-0.0972204969347639,-0.0509968511697485,0.0115020398447904,-1.57952297305487,-0.00872664625997147,0,link14,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link15,2.22044604925031E-16,-0.00599977153838499,-5.23592129902384E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-4.80666637645864E-21,-4.19471419816393E-23,4.53661887242029E-07,1.40778136601667E-09,2.9235840635484E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link15.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link15.STL,,25mm被动轮-16,w_link15,w_joint15,w_joint15,continuous,-0.0265300962998833,0.00638839389125454,-0.0329279432379867,0,-0.00872631399289025,0,link13,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link14,0,-0.00599977153838503,-5.23592129902453E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-3.83290474119514E-21,-3.34492529309819E-23,4.5366188724203E-07,1.40778136601667E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link14.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link14.STL,,25mm被动轮-14,w_link14,w_joint14,w_joint14,continuous,-0.0269231737433535,-0.050996851169729,0.012115515290319,-1.57952297305487,-0.00872664625997147,0,link12,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link13,0,-0.00599977153838503,-5.23592129902453E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-2.57264588273654E-23,-2.24511404910812E-25,4.5366188724203E-07,1.40778136601666E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link13.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link13.STL,,25mm被动轮-15,w_link13,w_joint13,w_joint13,continuous,-0.0265300962998797,0.00638839389128575,-0.0329279432380501,0,-0.0087263139928903,0,link11,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
w_link12,1.11022302462516E-16,-0.00599977153838502,-5.23592129902453E-05,0,0,0,0.00551808701233817,2.92346120832981E-07,-2.6007247705593E-21,-2.26961812328221E-23,4.5366188724203E-07,1.40778136601667E-09,2.92358406354841E-07,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link12.STL,1,1,1,1,0,0,0,0,0,0,package://14DOF-SW/meshes/w_link12.STL,,25mm被动轮-13,w_link12,w_joint12,w_joint12,continuous,-0.0269231737433532,-0.0509968511697467,0.0121155152903139,-1.57952297305487,-0.00872664625997147,0,link10,0,-0.999961923064171,-0.00872653549837373,,,,,,,,,,,,
